Date,Price,Open,High,Low,Volume,Change %
May 08 2020, 1729.05, 1724.95, 1735.45, 1722.20, -, 0.19%
May 07 2020, 1725.80, 1686.00, 1733.20, 1683.90, -, 2.21%
May 06 2020, 1688.50, 1714.10, 1716.60, 1683.00, -, -1.29%
May 05 2020, 1710.60, 1711.00, 1717.80, 1695.40, 184.73K, -0.16%
May 04 2020, 1713.30, 1711.20, 1726.00, 1700.30, 148.73K, 0.73%
May 01 2020, 1700.90, 1693.50, 1714.40, 1676.00, 168.02K, 0.40%
Apr 30 2020, 1694.20, 1729.60, 1737.00, 1687.50, 234.53K, -1.12%
Apr 29 2020, 1713.40, 1724.80, 1733.50, 1708.20, 159.60K, -0.51%
Apr 28 2020, 1722.20, 1724.40, 1731.90, 1704.10, 171.34K, -0.09%
Apr 27 2020, 1723.80, 1745.00, 1745.80, 1720.00, 146.64K, -0.68%
Apr 24 2020, 1735.60, 1753.00, 1760.20, 1725.40, 180.24K, -0.56%
Apr 23 2020, 1745.40, 1736.50, 1764.20, 1730.60, 201.88K, 0.41%
Apr 22 2020, 1738.30, 1703.10, 1742.40, 1695.40, 193.73K, 2.99%
Apr 21 2020, 1687.80, 1713.30, 1718.00, 1666.20, 248.63K, -1.37%
Apr 20 2020, 1711.20, 1693.00, 1718.40, 1685.00, 186.91K, 0.73%
Apr 17 2020, 1698.80, 1738.50, 1738.80, 1691.20, 227.07K, -1.90%
Apr 16 2020, 1731.70, 1743.50, 1768.00, 1722.60, 204.23K, -0.49%
Apr 15 2020, 1740.20, 1758.10, 1759.80, 1731.60, 186.70K, -1.62%
Apr 14 2020, 1768.90, 1761.50, 1788.80, 1747.10, 241.19K, 0.43%
Apr 13 2020, 1761.40, 1742.30, 1772.80, 1724.20, 166.89K, 1.19%
Apr 10 2020, 1740.60, 1740.60, 1740.60, 1740.60, -, -0.70%
Apr 09 2020, 1752.80, 1680.50, 1754.50, 1676.50, 218.80K, 4.07%
Apr 08 2020, 1684.30, 1678.70, 1695.80, 1670.70, 125.33K, 0.04%
Apr 07 2020, 1683.70, 1707.10, 1742.60, 1672.00, 204.50K, -0.60%
Apr 06 2020, 1693.90, 1647.70, 1715.80, 1638.20, 192.75K, 2.93%
Apr 03 2020, 1645.70, 1635.30, 1652.80, 1624.40, 139.61K, 0.49%
Apr 02 2020, 1637.70, 1602.40, 1645.60, 1595.20, 167.71K, 2.91%
Apr 01 2020, 1591.40, 1589.40, 1612.40, 1576.00, 164.48K, -0.33%
Mar 31 2020, 1596.60, 1643.40, 1645.60, 1588.20, 176.55K, -2.84%
Mar 30 2020, 1643.20, 1663.40, 1673.60, 1632.00, 157.37K, -0.66%
Mar 27 2020, 1654.10, 1653.40, 1661.00, 1630.70, 159.26K, -0.37%
Mar 26 2020, 1660.30, 1642.20, 1677.20, 1612.00, 145.43K, 1.59%
Mar 25 2020, 1634.30, 1665.50, 1698.00, 1609.00, 107.99K, -1.74%
Mar 24 2020, 1663.30, 1566.30, 1693.50, 1566.30, 175.51K, 5.76%
Mar 23 2020, 1572.70, 1508.40, 1574.80, 1489.40, 98.80K, 5.69%
Mar 20 2020, 1488.10, 1474.70, 1522.50, 1460.90, 46.27K, 0.39%
Mar 19 2020, 1482.30, 1489.70, 1505.20, 1462.80, 64.61K, 0.11%
Mar 18 2020, 1480.60, 1533.70, 1548.90, 1476.00, 73.22K, -3.11%
Mar 17 2020, 1528.10, 1505.80, 1556.40, 1468.60, 73.57K, 2.65%
Mar 16 2020, 1488.60, 1564.80, 1576.00, 1453.00, 73.79K, -2.03%
Mar 13 2020, 1519.50, 1581.00, 1600.40, 1507.00, 75.40K, -4.63%
Mar 12 2020, 1593.20, 1638.70, 1654.00, 1563.40, 94.80K, -3.17%
Mar 11 2020, 1645.40, 1652.40, 1674.70, 1635.70, 85.84K, -1.08%
Mar 10 2020, 1663.30, 1683.40, 1683.50, 1644.50, 52.24K, -0.91%
Mar 09 2020, 1678.60, 1694.50, 1707.80, 1660.80, 54.57K, 0.15%
Mar 06 2020, 1676.10, 1676.90, 1696.50, 1646.20, 71.20K, 0.25%
Mar 05 2020, 1672.00, 1642.70, 1679.20, 1641.50, 27.67K, 1.51%
Mar 04 2020, 1647.20, 1643.00, 1658.60, 1637.40, 28.13K, -0.10%
Mar 03 2020, 1648.90, 1594.30, 1654.70, 1594.30, 34.66K, 3.09%
Mar 02 2020, 1599.50, 1598.40, 1616.50, 1581.20, 23.69K, 1.76%
Feb 28 2020, 1571.80, 1651.70, 1656.10, 1569.10, 65.34K, -4.64%
Feb 27 2020, 1648.20, 1649.90, 1668.20, 1642.40, 22.88K, -0.04%
Feb 26 2020, 1648.90, 1643.00, 1662.70, 1632.40, 20.86K, -0.42%
Feb 25 2020, 1655.80, 1670.00, 1670.00, 1632.60, 23.32K, -1.58%
Feb 24 2020, 1682.40, 1660.30, 1697.00, 1658.80, 40.17K, 1.68%
Feb 21 2020, 1654.60, 1628.30, 1657.40, 1627.60, 19.99K, 1.75%
Feb 20 2020, 1626.20, 1620.00, 1632.00, 1612.60, 15.70K, 0.54%
Feb 19 2020, 1617.50, 1610.20, 1621.50, 1608.10, 6.16K, 0.51%
Feb 18 2020, 1609.30, 1590.40, 1613.80, 1587.50, 17.65K, 1.40%
Feb 17 2020, 1587.05, 1586.15, 1588.45, 1581.85, -, 0.05%
Feb 16 2020, 1586.25, 1585.50, 1586.25, 1583.45, -, -0.35%
Feb 14 2020, 1591.90, 1585.30, 1593.60, 1581.90, 16.79K, 0.47%
Feb 13 2020, 1584.50, 1574.60, 1587.00, 1574.50, 4.72K, 0.46%
Feb 12 2020, 1577.30, 1576.70, 1579.20, 1570.50, 17.80K, 0.09%
Feb 11 2020, 1575.90, 1581.60, 1583.10, 1570.90, 12.95K, -0.60%
Feb 10 2020, 1585.40, 1581.60, 1586.30, 1577.80, 4.94K, 0.39%
Feb 07 2020, 1579.20, 1575.70, 1583.30, 1570.00, 5.77K, 0.22%
Feb 06 2020, 1575.80, 1564.50, 1577.60, 1562.00, 3.20K, 0.45%
Feb 05 2020, 1568.70, 1563.40, 1571.70, 1556.90, 10.77K, 0.47%
Feb 04 2020, 1561.40, 1588.40, 1589.60, 1558.70, 6.79K, -1.69%
Feb 03 2020, 1588.30, 1603.60, 1603.90, 1579.10, 3.91K, -0.35%
